gid spike-times
0 40,96,130,171,214,249,294,335,372,418,463,506,542,580,620,665,696,737,777,815,857,887,920,957,999
1 40,96,130,171,214,249,294,335,372,418,463,506,542,580,620,665,696,737,777,815,857,887,920,957,999
